[2017-04-06T20:32:30+01:00] DEBUG: Current chef_repo_path is /root
[2017-04-06T20:32:30+01:00] DEBUG: Loading plugin at /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/kernel.rb
[2017-04-06T20:32:30+01:00] DEBUG: Loading plugin at /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/ohai_time.rb
[2017-04-06T20:32:30+01:00] DEBUG: Loading plugin at /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/os.rb
[2017-04-06T20:32:30+01:00] DEBUG: Loading plugin at /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/platform.rb
[2017-04-06T20:32:30+01:00] DEBUG: Loading plugin at /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/memory.rb
[2017-04-06T20:32:30+01:00] DEBUG: Loading plugin at /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/network.rb
[2017-04-06T20:32:30+01:00] DEBUG: Loading plugin at /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/dragonflybsd/cpu.rb
[2017-04-06T20:32:30+01:00] DEBUG: Loading plugin at /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins/cloud_v2.rb
[2017-04-06T20:32:30+01:00] DEBUG: Plugin Mono: ran 'mono -V' and failed #<Errno::ENOENT: No such file or directory - mono>
[2017-04-06T20:32:30+01:00] DEBUG: Mono plugin: Could not shell_out "mono -V". Skipping plugin
[2017-04-06T20:32:30+01:00] DEBUG: Plugin Scala: ran 'scala -version' and failed #<Errno::ENOENT: No such file or directory - scala>
[2017-04-06T20:32:30+01:00] DEBUG: Plugin Scala: Could not shell_out "scala -version". Skipping data
[2017-04-06T20:32:30+01:00] DEBUG: Plugin Scala: ran 'sbt --version' and failed #<Errno::ENOENT: No such file or directory - sbt>
[2017-04-06T20:32:30+01:00] DEBUG: Plugin Scala: Could not shell_out "sbt --version". Skipping data
[2017-04-06T20:32:31+01:00] DEBUG: Plugin Java: ran 'java -mx64m -version' and returned 0
[2017-04-06T20:32:31+01:00] DEBUG: Plugin Lua: ran 'lua -v' and returned 0
[2017-04-06T20:32:31+01:00] DEBUG: Plugin C: ran 'gcc -v' and returned 0
[2017-04-06T20:32:31+01:00] DEBUG: Plugin C: ran '/lib/libc.so.6' and failed #<Errno::ENOENT: No such file or directory - /lib/libc.so.6>
[2017-04-06T20:32:31+01:00] DEBUG: Plugin C: '/lib/libc.so.6' binary could not be found. Skipping data.
[2017-04-06T20:32:31+01:00] DEBUG: Plugin C: ran '/lib64/libc.so.6' and returned 0
[2017-04-06T20:32:31+01:00] DEBUG: Plugin C: ran 'cc -V -flags' and returned 0
